EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
   53         6.0000000000000000E+000         1.0000000000000001E-001         9.9999955227769194E-002        -2.6754406961229460E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.1720976761413064E+000        -1.2675226136420126E+000        -9.9000000000000000E+001         3.4726857845685006E+000        -8.7432550255407814E-003         3.4556325331670696E+000         7.1539665425616561E-001         5.4875587268246882E-005         2.7025513764607795E-001         2.4965358274886820E-003         6.1088852298628862E-003         5.9195195433401899E+000        -1.8020374679823391E-002         2.9807972942198435E-001         7.1539665424198939E-001         2.7025513764607795E-001         2.4965358274886820E-003        -1.0000000000000000E+000
   54         6.0000000000000000E+000         1.0123542176419978E-001         1.0123537615008789E-001        -2.7456394945213442E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.1640663382316434E+000        -1.2609502951373059E+000        -9.8999999999999986E+001         3.4731448721530622E+000        -5.6457612398321099E-003         3.4537884836392729E+000         7.1539659794580079E-001         5.5044518309044559E-005         2.7025513764609504E-001         2.4965358274888112E-003         6.1088852298632028E-003         5.9207061951920652E+000        -2.2752718522183780E-002         2.9640903465832674E-001         7.1539659793148047E-001         2.7025513764609504E-001         2.4965358274888112E-003        -1.0000000000000000E+000
   55         6.0000000000000000E+000         1.0531425709723324E-001         1.0531420865286517E-001        -2.9715256299339576E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.1377705697821439E+000        -1.2400070222692641E+000        -9.8999999999999986E+001         3.4746607046768911E+000         4.4704579372617358E-003         3.4479209855291972E+000         7.1539641308183255E-001         5.5599110038109688E-005         2.7025513764615144E-001         2.4965358274892380E-003         6.1088852298642480E-003         5.9247292327269001E+000        -3.8060078361104865E-002         2.9089314296672025E-001         7.1539641306703938E-001         2.7025513764615144E-001         2.4965358274892380E-003        -1.0000000000000000E+000
   56         6.0000000000000000E+000         1.0917130770912462E-001         1.0917125650111444E-001        -3.1764740614794544E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.1131775046505021E+000        -1.2202364310256937E+000        -9.9000000000000000E+001         3.4760939700247118E+000         1.3900459807439281E-002         3.4426448352544994E+000         7.1539623819826326E-001         5.6123760578628274E-005         2.7025513764620485E-001         2.4965358274896417E-003         6.1088852298652333E-003         5.9286644730890501E+000        -5.2141444411165618E-002         2.8567698437383365E-001         7.1539623818300713E-001         2.7025513764620485E-001         2.4965358274896413E-003        -1.0000000000000000E+000
   57         6.0000000000000000E+000         1.1284847394385888E-001         1.1284842001469912E-001        -3.3641911359997992E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.0899386831090383E+000        -1.2015102178454273E+000        -9.8999999999999972E+001         3.4774596478225419E+000         2.2788514982509965E-002         3.4378190572682312E+000         7.1539607235802016E-001         5.6621281148750411E-005         2.7025513764625564E-001         2.4965358274900255E-003         6.1088852298661726E-003         5.9325161246633593E+000        -6.5268683963772695E-002         2.8070316684347896E-001         7.1539607234232017E-001         2.7025513764625569E-001         2.4965358274900255E-003        -1.0000000000000000E+000
   58         6.0000000000000000E+000         1.1640064244626230E-001         1.1640058580143334E-001        -3.5386313555065772E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.0676222044527943E+000        -1.1836361294771813E+000        -9.8999999999999986E+001         3.4787777697546582E+000         3.1310510446399799E-002         3.4332851787310372E+000         7.1539591310677442E-001         5.7099034731691017E-005         2.7025513764630477E-001         2.4965358274903968E-003         6.1088852298670808E-003         5.9363019971991271E+000        -7.7759624062223670E-002         2.7589679791998334E-001         7.1539591309065576E-001         2.7025513764630482E-001         2.4965358274903968E-003        -1.0000000000000000E+000
   59         6.0000000000000000E+000         1.1986874354706255E-001         1.1986868416248633E-001        -3.7025098160454264E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.0459015139393091E+000        -1.1664847099738591E+000        -9.9000000000000000E+001         3.4800632707743611E+000         3.9599853663738006E-002         3.4289205341430820E+000         7.1539575783851195E-001         5.7564839369344144E-005         2.7025513764635278E-001         2.4965358274907593E-003         6.1088852298679698E-003         5.9400336430492002E+000        -8.9857374678193269E-002         2.7120180341500588E-001         7.1539575782200804E-001         2.7025513764635278E-001         2.4965358274907593E-003        -1.0000000000000000E+000
   60         6.0000000000000000E+000         1.2471015835090524E-001         1.2471009505845944E-001        -3.9248098736365006E-014         0.0000000000000000E+000         0.0000000000000000E+000        -1.0162666736408141E+000        -1.1476356629331612E+000        -9.8999999999999972E+001         3.4818624584724089E+000         5.0818898416888095E-002         3.4235330554979289E+000         7.1539553729098437E-001         5.8226481742798567E-005         2.7025513764641973E-001         2.4965358274912654E-003         6.1088852298692101E-003         5.9455688555219757E+000        -1.0574863148060504E-001         2.6465194692714339E-001         7.1539553727407568E-001         2.7025513764641973E-001         2.4965358274912659E-003        -1.0000000000000000E+000
   61         6.0000000000000000E+000         1.2886057284517299E-001         1.2886050606004468E-001        -4.1041164257505000E-014         0.0000000000000000E+000         0.0000000000000000E+000        -9.9106370890242679E-001        -1.1334775917242896E+000        -9.8999999999999986E+001         3.4834025258368979E+000         6.0340246057104543E-002         3.4191073896976931E+000         7.1539535126571951E-001         5.8784557357690923E-005         2.7025513764647713E-001         2.4965358274916995E-003         6.1088852298702709E-003         5.9504148812369753E+000        -1.1908267045304223E-001         2.5903310128736023E-001         7.1539535124853615E-001         2.7025513764647713E-001         2.4965358274916995E-003        -1.0000000000000000E+000
   62         6.0000000000000000E+000         1.3497540788684170E-001         1.3497533560684363E-001        -4.3473194954774057E-014         0.0000000000000000E+000         0.0000000000000000E+000        -9.5276254803751459E-001        -1.1053474630910576E+000        -9.8999999999999972E+001         3.4856550440659779E+000         7.4985790031400143E-002         3.4113516751170709E+000         7.1539506536448150E-001         5.9642260806883193E-005         2.7025513764656173E-001         2.4965358274923388E-003         6.1088852298718356E-003         5.9570266514834387E+000        -1.4040112593577991E-001         2.5073189029146137E-001         7.1539506534691666E-001         2.7025513764656173E-001         2.4965358274923388E-003        -1.0000000000000000E+000
